Subject,Start Date,Start Time,End Date,End Time
Lab 1,06-02-2018,19:00:00,06-02-2018,22:00:00
Lab 2,09-02-2018,19:00:00,09-02-2018,22:00:00
Lab 3,16-02-2018,19:00:00,16-02-2018,22:00:00
Lab 4,17-02-2018,12:00:00,17-02-2018,15:00:00
Lab 5,20-02-2018,19:00:00,20-02-2018,22:00:00
Lab 6,02-03-2018,19:00:00,02-03-2018,22:00:00
Lab 7,03-03-2018,12:00:00,03-03-2018,15:00:00
Lab 8,05-03-2018,19:00:00,05-03-2018,22:00:00
Lab 9,06-03-2018,19:00:00,06-03-2018,22:00:00
Lab 10,12-03-2018,19:00:00,12-03-2018,22:00:00
Lab 11,13-03-2018,19:00:00,13-03-2018,22:00:00
Lab 12,16-03-2018,19:00:00,16-03-2018,22:00:00
Проекты,17-03-2018,19:00:00,17-03-2018,22:00:00
Проекты,20-03-2018,19:00:00,20-03-2018,22:00:00
